# golden parity table for FUZZY_LONG_VOWEL: surface -> variants (oracle: fuzzy.py)
# one line per real surface; variants is a sorted comma-list (may be empty)
# surface	variants
kotsu	
kou	ko
koubashii	kobashii
kouboumugi	kobomugi
kougai	kogai
kouji	koji
koujiru	kojiru
koumori	komori
koumuru	komuru
kounotori	konotori
kouri	kori
kourougaookii	korogaookii,kourougaokii
kouru	koru
koushi	koshi
kousu	kosu
kouzo	kozo
kowa	
kowagaru	
kowai	
kowareru	
kowasu	
koya	
koyashi	
koyasu	
koyomi	
kozakashii	
kozato	
kozoru	
kozue	
ku	
kubaru	
kubi	
kubihaneru	
kubikase	
kubikazari	
kubiki	
kubikiru	
kubireru	
kubiru	
kubisu	
kubo	
kubomaru	
kubomi	
kubomu	
kuchi	
kuchibashi	
kuchibiru	
kuchigayugamu	
kuchihige	
kuchimoto	
kuchinashi	
kuchinohibi	
kuchiru	
kuchisaki	
kuchisosogu	
kuchisusugu	
kuchiwaki	
kuchizusamu	
kuda	
kudakeru	
kudaku	
kudan	
kudari	
kudaru	
kudasaru	
kudasu	
kude	
kudoi	
kudokudo	
kugi	
kugiri	
kugiru	
kugui	
kugumaru	
kugurido	
kuguru	
kui	
kuichigau	
kuimono	
kuiru	
kuji	
kujikeru	
kujiku	
kujira	
kujiri	
kujiru	
kukeru	
kuki	
kuku	
kukurigami	
kukuru	
kuma	
kumazemi	
kume	
kumi	
kumihimo	
kumisuru	
kumo	
kumori	
kumoru	
kumu	
kun	
kuni	
kunitsukami	
kunugi	
kunzuru	
kuooto	kuoto
kura	
kuraberu	
kurai	
kuramu	
kurasu	
kurau	
kurawasu	
kure	
kurenai	
kureru	
kuri	
kurige	
kuriya	
kuro	
kurodake	
kurogane	
kurogome	
kuroi	
kurokami	
kurokibi	
kurokurige	
kuronawa	
kurozumu	
kuru	
kurubushi	
kuruma	
kurumagi	
kurumazaki	
kurumeku	
kurumu	
kuruoshii	
kururiya	
kurushii	
kurushimeru	
kurushimu	
kuruu	kuru
kuruwa	
kusa	
kusabi	
kusabie	
kusabuki	
kusagiru	
kusai	
kusakanmuri	
kusame	
kusami	
kusamura	
kusanomi	
kusanomuragari	
kusarasu	
kusare	
kusareru	
kusari	
kusaru	
kusasu	
kusatori	
kuse	
kuseni	
kushami	
kushi	
kushige	
kushikezuru	
kushiki	
kushikumo	
